,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.9486796536796538,0.99,0.9685191637630662,0.956431623931624,0.040223060193846166,0.02108185106778922,0.025681845209957713,0.03403651082871713,0.5423694566303262,0.62,0.5757731393834626,0.554500592000592,0.1110909375256868,0.17826322609494583,0.14379508664971427,0.12428156461364587,0.4,0.02,0.038095238095238085,0.08333333333333331,0.5163977794943222,0.025819888974716113,0.04918074090422115,0.10758287072798378,0.6458241758241758,0.29,0.38865189614682516,0.5019913565966198,0.15146281579408835,0.11005049346146119,0.11381683742067901,0.11736369389057805,models/0_0_Dasic_NoNBD__RF_Model_02-Jul-2023_11-36_0.95_0.99_0.96.mdl,60.78373146057129,36.694988489151,1.2184927463531494,32.39865040779114
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,1.0,0.65,0.7874331550802139,0.9023477812177504,0.0,0.033333333333333326,0.02451655500389516,0.01291183562503844,0.44285996897839003,0.37,0.3990680730266738,0.42287893325297415,0.09565770140834094,0.11352924243950935,0.10141457780389465,0.09596096473566555,0.5082043343653251,0.975,0.6678550555230859,0.5619059558013045,0.01575663749557951,0.03535533905932738,0.01650491603845571,0.015692029315538154,0.37,0.08,0.13075362318840578,0.21215277777777777,0.19129190414806527,0.053748384988657,0.0843327398785683,0.12741420783557705,models/0_1_Dasic_LowNBD__RF_Model_02-Jul-2023_11-38_1.00_0.65_0.90.mdl,53.703792333602905,33.99292588233948,1.2184655666351318,32.82043266296387
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.8896745944114366,0.63,0.7300451330519742,0.8151801872541542,0.08371837142701091,0.14181364924121764,0.10725641959560309,0.08407863807110491,0.5031766917293232,0.485,0.490700975256212,0.4971906718424413,0.06317986804921202,0.11316163464511972,0.08414958915595706,0.06931785649695948,0.4960170697012802,0.96,0.6539819742225229,0.5490568055975033,0.010776670189815136,0.03944053188733077,0.017546000223609963,0.012712330680795081,0.562687728937729,0.375,0.4419000784790258,0.5029184973878069,0.11109552558528474,0.14577379737113252,0.133639420085947,0.117812938842487,models/0_2_Dasic_HighNBD__RF_Model_02-Jul-2023_11-40_0.89_0.63_0.82.mdl,53.5811653137207,34.507529973983765,1.2184646129608154,33.7264678478241
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0,0.8447826086956521,1.0,0.9156213295748179,0.8717159277504105,0.028819573346659678,0.0,0.017077034435480812,0.024631492105978366,0.5264066226171489,0.47000000000000003,0.4908500897149617,0.5099051852791421,0.11810292180526161,0.17352553446427163,0.14409644046750283,0.12747966273117242,0.5039811066126856,0.975,0.6644457432300799,0.5578679234202489,0.019531793877851974,0.03535533905932741,0.024579702587691744,0.021236827625324948,0.3191999666999667,0.13,0.18161098235180545,0.24246049089799088,0.1849980901500609,0.08232726023485645,0.10907933685526333,0.14079172913650406,models/0_3_PHM_C01_SS_NoNBD__RF_Model_02-Jul-2023_11-42_0.84_1.00_0.87.mdl,178.63876152038574,37.3787202835083,1.298577070236206,34.7264461517334
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0,0.8518715761736356,0.8800000000000001,0.8651342720429505,0.8569986263736263,0.06352564406773889,0.058689389538863365,0.057100834573596146,0.060210497022034126,0.488938522777532,0.495,0.48933941877738274,0.48848287465222945,0.06760060115384862,0.10658851303546323,0.08213025599762339,0.07208384849991913,0.25,0.015000000000000003,0.02813852813852813,0.059523809523809514,0.42491829279939874,0.0241522945769824,0.04532265158597231,0.09618412415508587,0.5019493006993007,0.26,0.33760045299116487,0.4172706582633053,0.1046224966631051,0.09368979548370131,0.0958905779150519,0.09688818560046303,models/0_4_PHM_C01_SS_LowNBD__RF_Model_02-Jul-2023_11-47_0.85_0.88_0.86.mdl,148.9190652370453,35.87729358673096,1.1871843338012695,33.98995566368103
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0,0.76844152224587,0.925,0.8388592701535067,0.7950220998051921,0.032203609972250476,0.048591265790377515,0.031155774301709,0.030200476710556035,0.4966427481747847,0.55,0.5211685953801666,0.5060011596002976,0.06045088421231299,0.0881917103688197,0.07110166077941138,0.06396077495114891,0.5013531750373856,0.9800000000000001,0.6631989090200662,0.5555723346421021,0.017206994613255068,0.04216370213557841,0.022567443310243962,0.018770760194931537,0.4727614366945031,0.44000000000000006,0.45311940573893794,0.463964424951267,0.0919839123132695,0.10488088481701517,0.09257372661841681,0.09023145153634304,models/0_5_PHM_C01_SS_HighNBD__RF_Model_02-Jul-2023_11-50_0.77_0.93_0.80.mdl,102.35563373565674,30.570961475372314,0.9529275894165039,25.9125337600708
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0,0.7979536727362815,0.9949999999999999,0.8851564284281622,0.830601296414005,0.045128001398282956,0.01581138830084191,0.03147481815729176,0.04030439567240365,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.49167244167244173,0.9400000000000001,0.6455081303492513,0.5434678095270835,0.02491291499881635,0.06992058987801006,0.037541736977494994,0.028850538459031887,0.5137955182072829,0.47000000000000003,0.48829961219242346,0.5024124319840432,0.05671487882968163,0.10055402085998905,0.07899930407649464,0.06457960710175696,models/0_6_PHM_C04_SS_NoNBD__RF_Model_02-Jul-2023_11-53_0.80_0.99_0.83.mdl,132.34123516082764,26.728111267089844,0.9529287815093994,25.80624485015869
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.539513560989197,0.52,0.5257715576593825,0.5329044512404313,0.09931564290682901,0.10327955589886444,0.08823500842372514,0.09105621627015222,0.1,0.02,0.03333333333333333,0.05555555555555556,0.31622776601683794,0.06324555320336758,0.10540925533894598,0.17568209223157663,0.5188927637314734,0.9199999999999999,0.6630905546695021,0.5682768620268621,0.023625533639474408,0.048304589153964794,0.026372575251500312,0.024097509056265613,models/0_7_PHM_C04_SS_LowNBD__RF_Model_02-Jul-2023_11-56_0.50_1.00_0.56.mdl,132.41916918754578,30.58658266067505,0.9529027938842773,25.86893343925476
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0,0.6417551892551893,0.465,0.5367276479969979,0.5941327503541463,0.09595428445086471,0.10814085465005557,0.10334650262102761,0.09877303805800447,0.4939853042666342,0.445,0.4660894087483475,0.4818408731809761,0.04906608271538329,0.09264628073124866,0.07024888828222658,0.05694292125342092,0.5066181566181566,0.99,0.6701559568119597,0.5614104080673848,0.01438748550735227,0.021081851067789224,0.015402940055560763,0.014793800885305236,0.5193587131822426,0.495,0.5051007627836895,0.513073418127766,0.07579387957171954,0.10124228365658289,0.08422242794703705,0.07745607349307655,models/0_8_PHM_C04_SS_HighNBD__RF_Model_02-Jul-2023_11-59_0.64_0.46_0.59.mdl,112.12734484672546,26.5406551361084,0.937305212020874,25.88455891609192
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,0,1.0,0.575,0.7288123167155425,0.8697406045751634,0.0,0.054006172486732174,0.04364891029727132,0.025018745867962974,0.48802388323750556,0.49000000000000005,0.48737457541051893,0.48738489268380575,0.06339873509753605,0.09660917830792962,0.07480982735370273,0.06646600472409618,0.20999999999999996,0.034999999999999996,0.05917786561264822,0.10223214285714284,0.2837360971739517,0.05296749527356902,0.087338071366431,0.1453229955308015,0.6130486108804523,0.63,0.6186433617373701,0.6146057625948931,0.08627977686612305,0.13784048752090222,0.10561391429435218,0.09199673323685102,models/0_9_PHM_C06_SS_NoNBD__RF_Model_02-Jul-2023_12-02_1.00_0.57_0.87.mdl,132.4509027004242,26.50941276550293,0.937305212020874,26.065965175628662
