,Unnamed: 0,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.9361757278669044,0.845,0.8857641505009927,0.9146697435012652,0.0423281382044073,0.0797565740933693,0.0453122206639411,0.0356521148221922,0.4706934731934732,0.26,0.3322043754300182,0.4018440945879026,0.106696588609771,0.0809663853432741,0.0902263076340461,0.097596699642185,0.5039136302294197,0.98,0.6655562049483732,0.5581321940333568,0.0137028569720313,0.0258198889747161,0.0172919175231632,0.0148948911036506,0.4739586488502897,0.375,0.4150667371700029,0.4473017623797085,0.0873566166969324,0.1034139470499238,0.0903056433209753,0.0859423434618481,models/5_0_Dasic_NoNBD__RF_Model_05-Jul-2023_15-36_0.94_0.84_0.91.mdl,50.11418175697327,12.881725549697876,0.9556934833526612,11.432382106781006
1,1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.7904726247987117,0.97,0.8705113936516815,0.8205534257640764,0.0431829302847781,0.0258198889747161,0.0305566976004157,0.038390008744303,0.4885050469489829,0.44,0.4590456298527433,0.4751402207208842,0.0570119589526364,0.1021980647783726,0.0746096642157098,0.0611059378930319,0.9238095238095236,0.325,0.4789468513606444,0.6718073593073594,0.084920222847572,0.0353553390593273,0.0378935659547601,0.0440314990363447,0.4997619047619047,0.12,0.1873247638030246,0.2902913059163059,0.3118198317262677,0.0788810637746615,0.1155962876796221,0.1689808841474197,models/5_1_Dasic_LowNBD__RF_Model_05-Jul-2023_15-38_0.79_0.97_0.82.mdl,47.42179584503174,12.786012411117554,0.9232003688812256,11.564073085784912
2,2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0,0.6901477832512315,1.0,0.816530612244898,0.7356760886172651,0.0194450173960631,0.0,0.013609409852304,0.0176761435301764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4987872487872488,0.97,0.6586986167932982,0.5524220611429913,0.007428462457942,0.0258198889747161,0.0093266238692148,0.0076719160386011,0.5460714285714285,0.13,0.2047156901069944,0.3190833472083472,0.2238489566184947,0.0632455532033675,0.0905590614055138,0.1266143140618513,models/5_2_Dasic_HighNBD__RF_Model_05-Jul-2023_15-39_0.69_1.00_0.74.mdl,48.123043060302734,13.00904631614685,0.95505952835083,11.319814443588257
3,3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092285266856205,0.5,0.501870538002729,0.5055590657052427,0.0640791040004043,0.0881917103688196,0.0675156775576418,0.0624132551450085,0.4971586971586971,0.96,0.6549714438053051,0.5501747122386658,0.0163397356580103,0.0516397779494322,0.0257032945833352,0.0191857783848593,0.386163537185209,0.32,0.3475703305165979,0.3689569531345846,0.1252042380520095,0.1206464071390257,0.1200250945390466,0.12208561946613,models/5_3_PHM_C01_SS_NoNBD__RF_Model_05-Jul-2023_15-40_0.00_0.00_0.00.mdl,146.3449330329895,12.560259342193604,0.946962594985962,11.693111896514893
4,4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,0,0.8166666666666667,0.09,0.1535884405449622,0.2770111832611832,0.3374742788552765,0.0906764700582362,0.1382816993293674,0.1979685569421496,0.531169318223094,0.5700000000000001,0.5451453829284972,0.5355741451383651,0.0546077030665374,0.1183215956619923,0.0698297193292091,0.0546742964268885,0.4946638946638947,0.975,0.6562592922985429,0.5487012987012987,0.0143445377629019,0.0485912657903775,0.0235479483830229,0.0171538282270544,0.6473543123543124,0.41,0.4984615963384039,0.5765187324929972,0.0837983369504298,0.0658280588604383,0.0605349403745941,0.0643797591037994,models/5_4_PHM_C01_SS_LowNBD__RF_Model_05-Jul-2023_15-43_0.82_0.09_0.28.mdl,117.61123418807983,13.456709146499634,0.960667371749878,11.884997129440308
5,5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,0,0.8504526632787502,0.97,0.9053034190867428,0.8713760297812023,0.0604574252100494,0.034960294939005,0.0409615761100463,0.0525375023322192,0.5189603722730658,0.495,0.5016351002524599,0.5106685653056621,0.0675397749016195,0.0955975359979998,0.065735021774377,0.0621476968487671,0.5,0.99,0.6644067796610169,0.5549242424242424,0.0085470085470085,0.0210818510677892,0.0116700063162558,0.0095047052109732,0.5202648046398046,0.725,0.6043546154890498,0.5507074440394448,0.0425961561994134,0.0889756521002609,0.0525385768806891,0.0446573919343165,models/5_5_PHM_C01_SS_HighNBD__RF_Model_05-Jul-2023_15-45_0.85_0.97_0.87.mdl,115.74459290504456,21.7774121761322,1.2925662994384766,15.19572401046753
6,6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,0,0.8563307164971252,0.77,0.808434591117518,0.8358235514485515,0.0573071167181612,0.0977525219907678,0.0699522169498734,0.0583441017393209,0.4683288933288933,0.2799999999999999,0.3490143906182151,0.4112083978328173,0.1491058391001557,0.1032795558988644,0.121083689388467,0.1357103075091101,0.4986504723346828,0.965,0.6574907461523475,0.5519879022786,0.0128933069257458,0.0337474278855276,0.0184773540433496,0.0146202024179404,0.3654761904761904,0.095,0.1497578347578347,0.2304292929292929,0.1666789489049606,0.0283823106098773,0.0480206813472673,0.0839606907754066,models/5_6_PHM_C04_SS_NoNBD__RF_Model_05-Jul-2023_15-48_0.86_0.77_0.84.mdl,155.57612109184265,14.624350786209106,1.028292894363403,13.186580657958984
7,7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,0,0.7984274742970395,0.98,0.8792919188224999,0.8288036641241592,0.0360858382842205,0.0258198889747161,0.0218444499828977,0.0304623374613639,0.5218659526654378,0.61,0.5582313946231513,0.5350292270040058,0.0676709371963463,0.1390443574307613,0.0838346051352759,0.0698795330881188,0.5065470328628223,0.985,0.6689460354568478,0.5610181969193597,0.0110753059950612,0.0241522945769824,0.0129201593062669,0.0115734722187067,0.4707714507714508,0.215,0.2882627207523013,0.3696467457980615,0.1131740382911075,0.0944281031614352,0.1076768702537297,0.1148497109650097,models/5_7_PHM_C04_SS_LowNBD__RF_Model_05-Jul-2023_15-51_0.80_0.98_0.83.mdl,146.2344834804535,14.87111496925354,1.0532684326171875,12.785260915756226
8,8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,0,0.6313146571198001,0.935,0.7529146230596258,0.6748059742545036,0.0345122686747523,0.0411636301174281,0.0279936075028469,0.0319017002186541,0.5074272723843662,0.5,0.4994057239098357,0.5030851696594907,0.1101473124121364,0.1394433377556792,0.118859524406049,0.111806905567993,0.1833333333333333,0.015,0.0273103707886316,0.0543154761904761,0.3374742788552764,0.0241522945769824,0.0440172071673747,0.0883194239626423,0.4634523809523809,0.16,0.2364680504680504,0.3335081585081584,0.1595613653178337,0.0614636297152859,0.0873753511167617,0.1185139681684758,models/5_8_PHM_C04_SS_HighNBD__RF_Model_05-Jul-2023_15-54_0.63_0.93_0.67.mdl,133.60203051567078,13.545784711837769,0.9360294342041016,11.838379383087158
9,9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,0,1.0,0.58,0.733357771260997,0.8726000816993464,0.0,0.0421637021355783,0.034135906106253,0.0195870438062391,0.548362258264807,0.615,0.5775916749686683,0.5592564677942578,0.0573056893665199,0.0883490552046571,0.0604706829564564,0.055988626434519,0.5026334026334026,0.97,0.6621079290863043,0.5562172807812342,0.0171557160778586,0.034960294939005,0.0223043887322752,0.0188266697837863,0.5867368718238284,0.65,0.6148712479733167,0.5972520226455759,0.0802303593870696,0.1080123449734643,0.0871568085893701,0.0813076000948692,models/5_9_PHM_C06_SS_NoNBD__RF_Model_05-Jul-2023_15-57_1.00_0.58_0.87.mdl,155.28117513656616,13.774125337600708,1.0044400691986084,11.446415662765505
