,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1.0,0.775,0.8713466713466713,0.9435425685425685,0.0,0.07546154281781178,0.04949726841308219,0.023878620508074818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.015000000000000003,0.027743271221532084,0.05729166666666665,0.41722185234485754,0.0241522945769824,0.04472773842484716,0.09333111149802506,0.42626984126984124,0.11499999999999999,0.17736978946424223,0.2680645743145743,0.2970842814670352,0.09732534213770955,0.1406448125929732,0.1970738882482267,models/1_0_Dasic_NoNBD__RF_Model_01-Jul-2023_14-21_1.00_0.77_0.94.mdl,64.23491716384888,32.383021116256714,1.4527831077575684,31.133314609527588
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9891812865497076,0.85,0.9135974030710873,0.9572804912478826,0.02281826083640546,0.04082482904638629,0.022713268228402073,0.017257467282338523,0.65,0.045,0.08279691323169583,0.16889880952380948,0.4743416490252569,0.04377975178854565,0.07682272405607378,0.14273523582156067,0.31666666666666665,0.025,0.04552983248635421,0.0907738095238095,0.43354695589170383,0.03535533905932738,0.0631762460709852,0.12199759364792033,0.42107142857142854,0.135,0.19926190476190472,0.2861582453494218,0.15525973045264105,0.07472170590486632,0.09201526104729377,0.11097688471592779,models/1_1_Dasic_LowNBD__RF_Model_01-Jul-2023_14-23_0.99_0.85_0.96.mdl,61.88523054122925,32.43031907081604,1.4527840614318848,31.117693424224854
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9947368421052631,0.8550000000000001,0.9191766665450875,0.9629505458309806,0.01664356663246512,0.028382310609877344,0.013855610718528647,0.010827554994833705,0.4556507381507381,0.22999999999999998,0.3037411939191694,0.37851800976800976,0.12020929039525441,0.07149203529842404,0.08638797804118566,0.10165465521354275,0.505195681511471,0.99,0.6689265536723163,0.5600187925769321,0.009136622339055286,0.021081851067789228,0.010525052999922927,0.009476289426860445,0.315,0.06,0.09890311138137224,0.16409181096681094,0.2079366593965279,0.04594682917363407,0.07297922999152216,0.11389892938609669,models/1_2_Dasic_HighNBD__RF_Model_01-Jul-2023_14-25_0.99_0.85_0.96.mdl,62.04793119430542,32.33615756034851,1.4527833461761475,30.742781400680542
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.9362074157726331,0.9800000000000001,0.9565164481954046,0.9439809727309727,0.05206363629297369,0.03496029493900506,0.029564691575248325,0.04180297727594389,0.4885990230212198,0.5349999999999999,0.5076946005480473,0.495275162631582,0.07174157187570601,0.14729034063523802,0.10622444078524451,0.08451562843174174,0.49480431848852896,0.975,0.6563997662185856,0.5488460183227625,0.009136622339055352,0.03535533905932738,0.015682009659397388,0.011064068364977414,0.47628787878787876,0.305,0.3672517804775869,0.42390873015873015,0.09999717167264656,0.08316649966583099,0.07596709346615807,0.08237029951397229,models/1_3_PHM_C01_SS_NoNBD__RF_Model_01-Jul-2023_14-27_0.94_0.98_0.94.mdl,184.5444872379303,32.16138935089111,1.4371623992919922,30.97710108757019
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.9888888888888889,0.265,0.401747961771176,0.6032760642135642,0.035136418446315335,0.13550317749451898,0.15686574135996326,0.14442026662407828,0.47794413919413914,0.39,0.42636484531183616,0.4548713548084257,0.07884872363775136,0.0737864787372622,0.06412861132647536,0.06811392408867367,0.700025641025641,0.875,0.777610891523935,0.7290925101965147,0.018340932419886064,0.035355339059327404,0.022722526178353443,0.019312896383316434,0.42952380952380953,0.11000000000000001,0.17120995912300258,0.26243686868686866,0.15411627641682935,0.03944053188733077,0.05417267872882839,0.07594501339990206,models/1_4_PHM_C01_SS_LowNBD__RF_Model_01-Jul-2023_14-32_0.99_0.27_0.60.mdl,154.95714569091797,32.44325637817383,1.4527833461761475,31.119320392608643
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6966666666666667,0.135,0.22068979651588347,0.3639880952380953,0.40565447804203464,0.11067971810589329,0.1672973108767404,0.2458508679706765,0.45149648103755613,0.45,0.44382156466190076,0.4466941891424116,0.045822507244946804,0.12018504251546633,0.06672063900219595,0.04633887580946612,0.5325233127864707,0.985,0.6912129461584997,0.5863618561434784,0.016411173888238043,0.03374742788552763,0.0205338405794256,0.017680808717028065,0.45818903318903315,0.15,0.21461841946347673,0.30045597784568373,0.22791166476226743,0.08819171036881969,0.10405046200984552,0.11723873609204152,models/1_5_PHM_C01_SS_HighNBD__RF_Model_01-Jul-2023_14-35_0.70_0.14_0.36.mdl,112.80163931846619,32.179943799972534,1.4527828693389893,31.117693424224854
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6632546450788943,0.9800000000000001,0.7906288983678579,0.7088716736694678,0.03160067648334254,0.03496029493900507,0.027226253050029913,0.02979247244413318,0.530078371346447,0.745,0.6190440653597239,0.5623525788003374,0.04620460089111979,0.07619419633774976,0.055863822105412984,0.04932608095400005,0.5562996031746031,0.985,0.7108391608391609,0.6092617007251153,0.011000652647709991,0.047434164902525694,0.020740401185923418,0.013815126152644666,0.4276792325321737,0.255,0.31561800882467633,0.3723513559668745,0.1337824686145128,0.10124228365658294,0.11556814178669837,0.12641031508502315,models/1_6_PHM_C04_SS_NoNBD__RF_Model_01-Jul-2023_14-38_0.66_0.98_0.71.mdl,186.35020542144775,31.992487907409668,1.437162160873413,30.867752075195312
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6835478574077017,1.0,0.8117607042817128,0.7296069943128767,0.02679832435255333,0.0,0.018979453518669236,0.024463302086234442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4987179487179487,0.985,0.6621274108708357,0.5533386187455955,0.007277515540994208,0.02415229457698243,0.010929900400786823,0.008292583634388076,0.3519047619047619,0.06999999999999999,0.11443192234496583,0.18805916305916304,0.2671146086602864,0.053748384988657,0.08588713338209454,0.1385721019166208,models/1_7_PHM_C04_SS_LowNBD__RF_Model_01-Jul-2023_14-43_0.68_1.00_0.73.mdl,169.70193147659302,31.7581684589386,1.4215400218963623,30.602189302444458
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6279824805339266,0.96,0.7590390002154708,0.6745385090973326,0.03640049697760435,0.051639777949432204,0.040361218691049035,0.03765773653389583,0.46384564352056606,0.43499999999999994,0.4479621071084486,0.4570847902097902,0.09782831312811292,0.11067971810589329,0.10371523292004058,0.09999171016943818,0.4,0.02,0.038095238095238085,0.08333333333333331,0.5163977794943222,0.025819888974716113,0.04918074090422115,0.10758287072798377,0.46470695970695963,0.2,0.27369084140635863,0.35829456491221195,0.11434068688473295,0.05773502691896258,0.06871851651055834,0.08264823055453485,models/1_8_PHM_C04_SS_HighNBD__RF_Model_01-Jul-2023_14-46_0.63_0.96_0.67.mdl,157.46753430366516,31.66592288017273,1.4215407371520996,30.6513192653656
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39208180708180707,0.24,0.2941976792458537,0.34397593720349134,0.1338314011247816,0.11254628677422754,0.12266688413193426,0.12839661740374594,0.4988547251705146,0.97,0.6587960257159555,0.5525028104969965,0.01433028096428546,0.02581988897471613,0.016964745725721275,0.015194415059762871,0.4891911764705882,0.38,0.4253946803946803,0.4606006493506493,0.10034212814782092,0.10852547064066471,0.10441455379231117,0.10166266626174826,models/1_9_PHM_C06_SS_NoNBD__RF_Model_01-Jul-2023_14-50_0.00_0.00_0.00.mdl,190.06474900245667,32.611459255218506,1.4684042930603027,31.53690481185913
