,Unnamed: 0.1,Unnamed: 0,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0.0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,0,0.9928571428571428,0.645,0.7804342558137625,0.89468578001376,0.0225876975726312,0.0598609499868932,0.0443997997796826,0.0271041839182241,0.4836993609245931,0.44,0.4584208864135051,0.4724904133471908,0.0830146176077778,0.1173787790777267,0.1011641722787824,0.090216318696042,0.4319362745098039,0.345,0.3834534534534534,0.4110930735930735,0.0271266560216041,0.0158113883008418,0.0190287367829366,0.023137010619989,0.4975460358056265,0.525,0.5087278535748547,0.5014304797456972,0.075012890385547,0.1252774698197742,0.0975511327453858,0.0832692755072364,models/0_0_PHM_C01_MS_NoNBD__RF_Model_02-Jul-2023_08-26_0.99_0.64_0.89.mdl,230.2259500026703,37.70991277694702,1.8591647148132324,33.80457711219788
1,1,1,1,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,0.5,-1,-40,0.098,0.9,0,0.0,1000,348,PHM_C04_MS,Separate test set.,40,10,results/MRL2,,100,70,0,0.3666666666666666,0.045,0.0798418972332015,0.1495535714285714,0.4830458915396479,0.0598609499868932,0.105760260174683,0.1968705570351347,0.4646031746031746,0.13,0.1973804309966229,0.2934027777777778,0.1244343884285994,0.0632455532033676,0.0839700773850356,0.1028336140615751,0.2833333333333333,0.025,0.0454921889704498,0.0900297619047618,0.4161107402460889,0.0353553390593273,0.0643416686602805,0.1274545825433518,0.5329761904761904,0.225,0.3127422250951662,0.4133227518095939,0.2161107249237291,0.0824957911384305,0.1131893751478224,0.1555208997786923,models/0_1_PHM_C04_MS_NoNBD__RF_Model_02-Jul-2023_08-31_0.37_0.05_0.15.mdl,229.8055546283722,33.382832765579224,1.8745357990264893,32.757949352264404
2,2,2,2,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,0.5,-1,-40,0.13,0.9,0,0.0,1000,348,PHM_C06_MS,Separate test set.,40,10,results/MRL2,,100,70,0,1.0,0.24,0.3800077738908323,0.5959821428571429,0.0,0.0906764700582362,0.1078979026844909,0.0986955683458751,0.4912605042016806,0.8550000000000001,0.6239490139490139,0.5369293308317699,0.0280649344630384,0.0550252467307305,0.0369616135617788,0.0310234952301156,0.5027008790166685,0.98,0.6644262614455484,0.5569146615658244,0.0119966893369202,0.0258198889747161,0.0139820924267731,0.0125418977865263,0.4461868686868686,0.225,0.2956965684936305,0.3684119382939042,0.0682047404276538,0.0857969178415583,0.0901369649411572,0.0845508731075564,models/0_2_PHM_C06_MS_NoNBD__RF_Model_02-Jul-2023_08-36_1.00_0.24_0.60.mdl,230.06976890563965,33.742093563079834,1.8901822566986084,34.1794912815094
3,0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0.0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,1,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.5992249417249418,0.385,0.460950769660447,0.5304189478821832,0.0743432675109968,0.0973253421377095,0.0832848381333006,0.0665244328220601,0.6525,0.3199999999999999,0.4284543672864028,0.5389995421245422,0.0411485230461892,0.0421637021355783,0.0441828948322498,0.0420986750024499,0.4482607962213225,0.31,0.362124259839777,0.4074433940242764,0.1268031824665581,0.1308094458023239,0.121557503256852,0.1188837471694782,models/1_0_PHM_C01_MS_NoNBD__RF_Model_02-Jul-2023_08-41_0.50_1.00_0.56.mdl,232.085196018219,33.55463647842407,1.843327283859253,33.32113862037659
4,1,1,1,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,0.5,-1,-40,0.098,0.9,0,0.0,1000,348,PHM_C04_MS,Separate test set.,40,10,results/MRL2,,100,70,1,0.4760064935064935,0.135,0.2046292359139483,0.3033393689643689,0.2608648197159658,0.0883490552046571,0.1279546913867529,0.1801538624716445,0.47,0.125,0.1967179487179486,0.301010101010101,0.2033363691333788,0.0589255650988789,0.0905028363459445,0.1342667793931612,0.2,0.02,0.0363636363636363,0.0714285714285714,0.3496029493900505,0.034960294939005,0.0635641726163728,0.1248581962107323,0.5124908424908424,0.21,0.2930019074157005,0.390018315018315,0.1440387384056267,0.0994428926011753,0.1187001660253191,0.1328765064217414,models/1_1_PHM_C04_MS_NoNBD__RF_Model_02-Jul-2023_08-46_0.48_0.14_0.30.mdl,231.4289283752441,34.038888692855835,1.890183448791504,33.835835218429565
5,2,2,2,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,0.5,-1,-40,0.13,0.9,0,0.0,1000,348,PHM_C06_MS,Separate test set.,40,10,results/MRL2,,100,70,1,0.9857142857142858,0.38,0.5459110493593252,0.7431630869130869,0.0451753951452625,0.0674948557710553,0.0730765386722412,0.0634058768550424,0.5201065162907268,0.52,0.5153932192866912,0.5168028100028073,0.0596309874315855,0.1316561177208766,0.0966155619839455,0.0741349536575792,0.4985811722653827,0.97,0.6585212300183538,0.552220712104433,0.0114684891945997,0.0421637021355783,0.0188595463941457,0.0136033001306683,0.5070850421508316,0.355,0.4142056454509016,0.4639678239716939,0.1088755963190588,0.1039497741967511,0.1013750826431497,0.1026599396615177,models/1_2_PHM_C06_MS_NoNBD__RF_Model_02-Jul-2023_08-52_0.99_0.38_0.74.mdl,231.695734500885,33.94516897201538,1.8745598793029783,33.83578872680664
6,0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0.0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,2,0.99375,0.67,0.7950513538748832,0.901016327583665,0.0197642353760523,0.1110555416597178,0.0814265598460025,0.0434078140923135,0.5047526933578101,0.735,0.5975387508024813,0.5380396483849494,0.0482941044577944,0.1001387925719987,0.0627962663919523,0.0524716716233767,0.375,0.025,0.0459956709956709,0.0942460317460317,0.4602233757161358,0.0263523138347364,0.0486070115023236,0.1014139300608178,0.5574969474969474,0.355,0.4252612999681164,0.4918215562350035,0.1039218328920343,0.1234908903522847,0.1065125641998449,0.0971056432199922,models/2_0_PHM_C01_MS_NoNBD__RF_Model_02-Jul-2023_08-57_0.99_0.67_0.90.mdl,231.99106001853943,34.0857629776001,1.874561309814453,34.10138440132141
7,1,1,1,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,0.5,-1,-40,0.098,0.9,0,0.0,1000,348,PHM_C04_MS,Separate test set.,40,10,results/MRL2,,100,70,2,0.65,0.12,0.196065311500094,0.3257974664224664,0.3944053188733077,0.0977525219907678,0.1460472825930053,0.2158994901877692,0.4879031865873971,0.93,0.6398194858859598,0.5390834035190246,0.0160556113010149,0.0586893895388633,0.0265015451685096,0.019079213135214,0.5166666666666667,0.045,0.0811405985319028,0.1584821428571428,0.4475585346916185,0.0437797517885456,0.076603730156603,0.1412188529629162,0.4641293845473411,0.41,0.4331756430189564,0.4505374362797131,0.0579735758335037,0.0966091783079296,0.0794004416736984,0.0668584790724477,models/2_1_PHM_C04_MS_NoNBD__RF_Model_02-Jul-2023_09-02_0.65_0.12_0.33.mdl,231.92998814582825,34.13259720802307,1.8902127742767327,33.80454778671265
8,2,2,2,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,0.5,-1,-40,0.13,0.9,0,0.0,1000,348,PHM_C06_MS,Separate test set.,40,10,results/MRL2,,100,70,2,0.6094588744588745,0.25,0.3503553760950869,0.4668982059607059,0.257473111224147,0.1178511301977579,0.1543637612296648,0.1966862593727459,0.5236014608325821,0.5349999999999999,0.5242243226546217,0.5223722792868497,0.0808271448556647,0.1155902725626646,0.0858014396735337,0.0775448876655573,0.5013513513513513,0.975,0.6620884473017729,0.5552629702339005,0.0144457844367611,0.0353553390593273,0.0188657834475448,0.0157320764664326,0.5088471177944862,0.4,0.4456469510881275,0.4807796144773698,0.0819259465237637,0.0912870929175276,0.0825387274922098,0.0800102775438923,models/2_2_PHM_C06_MS_NoNBD__RF_Model_02-Jul-2023_09-07_0.61_0.25_0.47.mdl,232.7296633720398,33.88268065452576,1.8901464939117432,33.64835500717163
9,0,0,0,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,0.5,-1,-40,0.12,0.9,0,0.0,1000,348,PHM_C01_MS,Separate test set.,40,10,results/MRL2,,100,70,3,0.9746031746031748,0.52,0.6732931548592741,0.8239342169053856,0.0422949606173785,0.0918936583472681,0.0759931332723953,0.0498071125785225,0.3,0.015,0.0285714285714285,0.0624999999999999,0.4830458915396479,0.0241522945769824,0.0460043706228235,0.1006345607374266,0.3333333333333333,0.025,0.0459250894033502,0.0930059523809523,0.408248290463863,0.0263523138347364,0.0484651231928766,0.0991598353259116,0.5312971342383107,0.3299999999999999,0.4021845384345384,0.4684134901046666,0.1545894039413277,0.0823272602348564,0.0942430188239456,0.1180955474560304,models/3_0_PHM_C01_MS_NoNBD__RF_Model_02-Jul-2023_09-12_0.97_0.52_0.82.mdl,231.53948783874512,33.9763777256012,1.8902134895324707,33.71085000038147
