,Round,expt_n,environment,environment_info,data_file,Model_name,environment.1,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
5,5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,SS,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.719395082,0.42,0.524607267,0.623490919,0.056853448,0.078881064,0.058387584,0.040757787,0.493606175,0.425,0.453367705,0.475603752,0.074147988,0.075461543,0.064731149,0.066274335,0.316666667,0.025,0.045529832,0.09077381,0.433546956,0.035355339,0.063176246,0.121997594,0.493636572,0.71,0.581418052,0.525221371,0.062711272,0.130809446,0.086581776,0.070685803,models/0_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_16-22.mdl,119.5405307,14.00577903,0.998332262,11.63343239
6,5,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,SS,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.680772287,1.0,0.809927971,0.727134793,0.019387071,0.0,0.013761065,0.017712145,0.477612926,0.455,0.463839753,0.471451707,0.053755516,0.072456884,0.054826824,0.051498982,0.25,0.02,0.036796537,0.074404762,0.424918293,0.034960295,0.06399024,0.128010793,0.425692641,0.18,0.245041994,0.31937508,0.167310527,0.115950181,0.141978458,0.158448281,models/0_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_16-24.mdl,158.4092541,13.17286587,0.969416142,12.48392439
7,5,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,SS,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.618381658,0.95,0.748703673,0.664603085,0.04152328,0.040824829,0.039983214,0.041144775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417841869,0.7,0.52317085,0.454421337,0.010655798,0.033333333,0.016314424,0.012204963,0.541155642,0.28,0.362144877,0.447703512,0.143401536,0.120646407,0.125782836,0.130042741,models/0_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_16-27.mdl,153.8742616,19.92207551,1.804234505,21.72129917
8,5,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,SS,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.633804492,0.95,0.760168667,0.678925813,0.022624964,0.023570226,0.02075881,0.021925184,0.484062792,0.495,0.483909775,0.482761153,0.092186183,0.173925271,0.124576294,0.103105988,0.266666667,0.02,0.036438923,0.072916667,0.438853726,0.034960295,0.062457439,0.120781438,0.436940837,0.24,0.30703098,0.37210656,0.104113246,0.087559504,0.094486386,0.098467348,models/0_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_16-30.mdl,226.0870192,19.67450762,1.917039394,22.89306188
9,5,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,SS,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.702867248,1.0,0.825187814,0.747120842,0.029944919,0.0,0.02038292,0.026942876,0.534192071,0.545,0.537554276,0.535066547,0.079444214,0.101242284,0.084374605,0.079878101,0.5,0.97,0.659809079,0.553632253,0.015064689,0.034960295,0.020311737,0.01670623,0.39702381,0.12,0.183192918,0.269352176,0.125937215,0.05868939,0.081464295,0.104853487,models/0_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_16-35.mdl,274.4366405,17.96540856,1.857466936,18.52694607
10,5,10,SS,PHM C06 SS LBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_LowNBD.mdl,SS,1,-1,-40,0.13,0.95,1000,0.05,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.963484848,0.52,0.673125906,0.820440885,0.063830272,0.075277265,0.069409891,0.06088976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.502564103,0.99,0.666627703,0.557434813,0.005405603,0.021081851,0.007598062,0.005815634,0.526985917,0.895,0.663011388,0.574057097,0.03056452,0.055025247,0.035711011,0.032053833,models/0_10_PHM_C06_SS_LowNBD__RF_Model_28-Jun-2023_16-40.mdl,328.0544388,43.77286696,3.445685387,40.64740443
11,5,11,SS,PHM C06 SS HBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_HighNBD.mdl,SS,1,-1,-40,0.13,0.9,100,0.1,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.788874459,0.255,0.380864994,0.547553662,0.17361389,0.068516016,0.087287122,0.111611668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501212751,0.98,0.663118931,0.555450686,0.007428462,0.034960295,0.013436575,0.00902636,0.542459473,0.76,0.63171578,0.574728128,0.03141838,0.09067647,0.048503421,0.03576255,models/0_11_PHM_C06_SS_HighNBD__RF_Model_28-Jun-2023_16-47.mdl,401.2871006,40.00273013,3.320575237,38.88173866
12,5,12,MS,PHM C01 MS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_MS_NoNBD.mdl,MS,1,-1,-40,0.12,0.925,0,0.0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,1.0,0.22,0.34,0.55,0.0,0.100138793,0.138764758,0.165902002,0.502564103,1.0,0.668926554,0.558080808,0.005405603,0.0,0.00476426,0.0053237,0.492099792,0.96,0.650609575,0.545229076,0.015527615,0.045946829,0.023933216,0.018130535,0.492627444,0.595,0.537350519,0.509296383,0.076237335,0.11890706,0.089998025,0.080454862,models/3_12_PHM_C04_MS_NoNBD__RF_Model_28-Jun-2023_19-18.mdl,172.6982691,13.8398478,1.509534359,12.32632804
13,5,13,MS,PHM C04 MS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_MS_NoNBD.mdl,MS,1,-1,-80,0.098,0.95,0,0.0,800,348,PHM_C04_MS,Separate test set.,40,10,results/MultiRound,,100,70,0.803015873,0.19,0.295417387,0.454085498,0.150100887,0.084327404,0.110307634,0.12426659,0.510061328,0.525,0.515000028,0.511405942,0.054309072,0.108653373,0.076275341,0.060900422,0.866048951,0.51,0.641115591,0.759027778,0.051990644,0.039440532,0.038823667,0.041491955,0.531201299,0.265,0.350142654,0.438095752,0.192767353,0.108140855,0.129799049,0.156115106,models/0_1_PHM_C04_MS_NoNBD__RF_Model_29-Jun-2023_18-53_0.80_0.19_0.45.mdl,172.2784579,13.71755147,1.530206442,12.27292275
14,5,14,MS,PHM C06 MS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_MS_NoNBD.mdl,MS,1,-1,-80,0.13,0.9,0,0.0,800,348,PHM_C06_MS,Separate test set.,40,10,results/MultiRound,,100,70,0.959880952,0.675,0.790748663,0.883477689,0.057641672,0.063464776,0.050562705,0.047337699,0.498650472,0.975,0.659789597,0.552633897,0.012893307,0.035355339,0.018789808,0.014699993,0.525,0.04,0.073268398,0.14781746,0.447989335,0.031622777,0.057792275,0.11658329,0.530155678,0.425,0.469438886,0.503367955,0.135694448,0.120761473,0.122548537,0.128528198,models/0_2_PHM_C06_MS_NoNBD__RF_Model_29-Jun-2023_18-56_0.96_0.68_0.88.mdl,183.2410157,34.91309261,2.521163464,16.63192058
