,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.8342028985507246,1.0,0.9093727977448907,0.8626847290640395,0.02840974043416784,0.0,0.016880225847889514,0.024306271745078826,0.5254862459858085,0.495,0.506374785624894,0.5167281597544755,0.07834571592399946,0.10124228365658294,0.08075459096913988,0.07600863631992773,0.18362732919254654,0.21000000000000002,0.19581139979324885,0.1882909316098971,0.028237012226936548,0.03944053188733076,0.032853578498121296,0.029887059707790247,0.40654761904761905,0.10500000000000001,0.16375484418962674,0.2505948912198912,0.2198722472588081,0.06851601597031488,0.10039304587079381,0.14205371466566571,models/4_0_Dasic_NoNBD__RF_Model_01-Jul-2023_17-17_0.83_1.00_0.86.mdl,66.89054322242737,36.39770317077637,1.5308895111083984,31.898760318756104
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9354329004329005,0.525,0.670704459203036,0.8069417569659443,0.045487293226437076,0.0754615428178118,0.0698106571215317,0.05782248539939291,0.5009868421052631,0.465,0.4812964243002754,0.49264114508679724,0.06681399773100094,0.07090682462060882,0.06479912833602947,0.06470910834560803,0.35,0.03,0.05422548466026726,0.1063988095238095,0.4743416490252569,0.048304589153964794,0.08501891983512344,0.15818863791083146,0.09,0.015000000000000003,0.02509090909090909,0.04285714285714285,0.19119507199599983,0.033747427885527655,0.05534630934181079,0.09190599555056563,models/4_1_Dasic_LowNBD__RF_Model_01-Jul-2023_17-19_0.94_0.53_0.81.mdl,63.5788209438324,32.96101117134094,1.5152685642242432,31.777870893478394
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.888531902879729,0.985,0.9337303101511836,0.9059586263034539,0.03370148696419519,0.03374742788552764,0.024535988500411048,0.028781103889871974,0.33136363636363636,0.075,0.11706124030247449,0.1842397186147186,0.15636358742462628,0.05892556509887897,0.07809494762021726,0.10090594024918416,0.13527940404370603,0.15,0.1421097714915071,0.13789792184188734,0.02005268863263014,0.023570226039551587,0.020968227522249923,0.020236954531239894,0.35,0.08,0.12431336779162863,0.19401605339105338,0.29606472432164954,0.0752772652709081,0.10436609134653721,0.14682827325014491,models/4_2_Dasic_HighNBD__RF_Model_01-Jul-2023_17-22_0.89_0.98_0.91.mdl,63.20390772819519,36.272732973098755,1.5308887958526611,35.503844022750854
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,1.0,0.8699999999999999,0.930298719772404,0.9708498023715416,0.0,0.02581988897471613,0.01469125972956832,0.006378431070829254,0.4741760230995613,0.645,0.5439660103306813,0.49939729694325286,0.0484411553336188,0.12572014777097407,0.07235973163914768,0.055441073806347725,0.8971296819122907,0.9949999999999999,0.9432819402189793,0.9149869128317404,0.025581072237305918,0.015811388300841913,0.015597533822286996,0.02142168342384069,0.5040476190476191,0.125,0.19431060726712895,0.2978889166389166,0.2149608705391234,0.035355339059327376,0.04625867038959544,0.06594966548627719,models/4_3_PHM_C01_SS_NoNBD__RF_Model_01-Jul-2023_17-24_1.00_0.87_0.97.mdl,192.78636932373047,35.913442611694336,1.484025239944458,31.476983308792114
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.4,0.025,0.04675324675324674,0.0982142857142857,0.5163977794943222,0.035355339059327376,0.06532829468130867,0.1338734454449936,0.4512877971701501,0.43,0.4361840971970851,0.4439269276231716,0.1125369158629752,0.15129074290546954,0.12661682447265868,0.11594064103392454,0.030952380952380943,0.01,0.015099715099715088,0.02178030303030302,0.06549422551040555,0.0210818510677892,0.03184007651498234,0.045971128118057876,0.42426295926295926,0.22000000000000003,0.2862995819500596,0.3534822810703228,0.133641755921165,0.07888106377466154,0.09305177926315017,0.10902176051759782,models/4_4_PHM_C01_SS_LowNBD__RF_Model_01-Jul-2023_17-28_0.40_0.03_0.10.mdl,165.6329846382141,36.08527731895447,1.4996466636657715,35.460418462753296
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.8219806763285025,0.985,0.8946231738463307,0.8492813526272578,0.0620871393053316,0.03374742788552765,0.03891611350972187,0.052917139221288864,0.34439393939393936,0.11499999999999999,0.166480398049823,0.2345619658119658,0.2514908612667339,0.1028753290800731,0.14026507872074567,0.18496957814934878,0.5000674763832659,0.9800000000000001,0.6621468926553672,0.5543369743951139,0.010652106432074327,0.025819888974716133,0.013374276218244953,0.011411039098436675,0.47106457736018353,0.675,0.5533712491420302,0.5006499503697677,0.04164205974494994,0.10865337342004414,0.06035773741747074,0.04693920192005678,models/4_5_PHM_C01_SS_HighNBD__RF_Model_01-Jul-2023_17-32_0.82_0.98_0.85.mdl,141.40957140922546,32.74231243133545,1.4840259552001953,31.445740222930908
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7457457370215991,0.975,0.8444170184542855,0.7822006626495275,0.033033650427841815,0.03535533905932738,0.024270835600196532,0.029214624551112144,0.45951174037041626,0.52,0.485314749749707,0.4689863987874672,0.0773321629892285,0.14375905768565217,0.10193250458437488,0.08539028928583309,0.2,0.01,0.019047619047619042,0.04166666666666666,0.4216370213557839,0.0210818510677892,0.040155906795788926,0.0878410461157883,0.48392857142857143,0.185,0.26599511599511594,0.363053613053613,0.1691586657402196,0.0747217059048663,0.10092361890967992,0.1306691581007943,models/4_6_PHM_C04_SS_NoNBD__RF_Model_01-Jul-2023_17-36_0.75_0.97_0.78.mdl,192.23611330986023,32.8204185962677,1.4996469020843506,31.72692584991455
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.49535196966775913,0.56,0.5235692895442877,0.5058213777425115,0.06541166761889332,0.09368979548370134,0.06975602959744541,0.06507643536496895,0.5241939237233355,0.5650000000000001,0.5374695994075633,0.527788430207785,0.09638046882576722,0.11559027256266471,0.0870101381019781,0.0873426968369116,0.5026334026334026,0.985,0.6655172413793103,0.5571715913285681,0.008208150421830703,0.024152294576982425,0.009916145397812059,0.008502801489492973,0.4999157545353198,0.41500000000000004,0.444430340482041,0.4729535164539701,0.11015347186514804,0.1375378735718517,0.1059572753815078,0.09812090405945188,models/4_7_PHM_C04_SS_LowNBD__RF_Model_01-Jul-2023_17-40_0.50_0.56_0.51.mdl,192.05610823631287,32.72078728675842,1.4840259552001953,31.445740938186646
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.5012820512820513,0.9949999999999999,0.6666666666666666,0.5565025252525253,0.007277515540994186,0.015811388300841913,0.00922595006697996,0.007880885231933508,0.5140328874024526,0.5549999999999999,0.5304465494710825,0.5197333533693983,0.08899290173460593,0.12572014777097407,0.0984417936847095,0.09062844425775014,0.4833333333333333,0.035,0.06453980801806887,0.13169642857142855,0.4743416490252569,0.03374742788552765,0.06186074584294078,0.12499852370632379,0.3261904761904762,0.095,0.14658119658119656,0.21811868686868685,0.24411697298192603,0.07245688373094719,0.11096582655863925,0.16377983192715495,models/4_8_PHM_C04_SS_HighNBD__RF_Model_01-Jul-2023_17-45_0.50_0.99_0.56.mdl,192.4769389629364,32.71106958389282,1.484025239944458,35.335453033447266
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,0.837536231884058,1.0,0.9113929997650928,0.8655582922824303,0.025785066580648178,0.0,0.01529035643523863,0.022044033440706087,0.49590357233663873,0.47000000000000003,0.4780037275386112,0.48717493902441866,0.07550416994188877,0.08232726023485647,0.05745963780378256,0.060093223109513906,0.4333333333333333,0.030000000000000006,0.05544889892715978,0.1138392857142857,0.49814470603244204,0.03496029493900506,0.06419100693679324,0.13020479020122655,0.475670153644982,0.465,0.46849696482992,0.47230621230621217,0.10462387262636472,0.12920698295542873,0.11400235080525645,0.10744520997075474,models/4_9_PHM_C06_SS_NoNBD__RF_Model_01-Jul-2023_17-49_0.84_1.00_0.87.mdl,192.15800714492798,32.7735538482666,1.4840238094329834,31.633196592330933
