,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.7201451166968409,1.0,0.8371012604856929,0.7627418636076131,0.024241143014949607,0.0,0.01625484665749125,0.021694457006382065,0.5593240998371286,0.615,0.5799995445490204,0.5660509513634514,0.05746217251495363,0.14916433890176298,0.09175056847122753,0.06823803576186571,0.4688140048666364,0.875,0.6103576625267542,0.516731521928629,0.013591094879139355,0.05400617248673214,0.024307894400134176,0.016802794023377518,0.33166666666666667,0.08,0.12609823509823506,0.1962176712176712,0.2827826893264792,0.058689389538863365,0.09490695680723675,0.15440797009221988,models/0_0_Dasic_NoNBD__RF_Model_01-Jul-2023_13-35_0.72_1.00_0.76.mdl,47.38913917541504,28.335731983184814,0.9843425750732422,26.462536573410034
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.9743943191311611,0.945,0.958954609789013,0.9680323299888517,0.02709084392843755,0.04972144630058765,0.033144512097804175,0.027436823092655143,0.5779784820106533,0.545,0.5588232326360851,0.5695261536708905,0.08361584911256313,0.05502524673073059,0.058874980588139086,0.07091628909639455,0.49217273954116053,0.9650000000000001,0.6518020650691603,0.5456160441625558,0.011061005511371432,0.04116363011742822,0.01877274345114256,0.013363448565608617,0.33428571428571424,0.05500000000000001,0.09273080864385211,0.16027236652236648,0.20746705761387985,0.028382310609877337,0.04886423701467556,0.08815200376457356,models/0_1_Dasic_LowNBD__RF_Model_01-Jul-2023_13-37_0.97_0.94_0.97.mdl,44.59289598464966,26.868691205978394,0.9685211181640625,26.58749532699585
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,1.0,0.765,0.8661215837686426,0.9415157211209844,0.0,0.047434164902525715,0.03035578931713025,0.014341766404123376,0.5101867860381792,0.505,0.5065259937532081,0.5084559713635801,0.06258586991753795,0.07619419633774972,0.06496639641142404,0.062260636180988066,0.6,0.045,0.0831168831168831,0.1696428571428571,0.45946829173634074,0.03689323936863109,0.06730638888467749,0.13387344544499358,0.24833333333333335,0.04,0.0678774703557312,0.11800595238095238,0.22777100260926464,0.03944053188733077,0.06526788788106128,0.10948675313818473,models/0_2_Dasic_HighNBD__RF_Model_01-Jul-2023_13-39_1.00_0.76_0.94.mdl,42.25986933708191,27.370463371276855,1.015418529510498,26.915555238723755
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.9816176470588236,0.755,0.8522176110411405,0.9249425647451964,0.029615308758810237,0.055025246730730594,0.03605906127621142,0.025212038276106206,0.47373306123339776,0.505,0.4843617808104808,0.4768400250634556,0.07083506477745342,0.1499073788117924,0.10316715516204675,0.0814950610295172,0.49608636977058024,0.97,0.6563997662185856,0.5497929880197321,0.012298073493219559,0.03496029493900506,0.01819460308981319,0.014094018495711468,0.5244617364229434,0.8550000000000001,0.649450812161835,0.5681185429637442,0.054534571829632277,0.10394977419675115,0.0693716913040489,0.05928864351925392,models/0_3_PHM_C01_SS_NoNBD__RF_Model_01-Jul-2023_13-40_0.98_0.76_0.92.mdl,137.24475502967834,27.987453937530518,1.0380399227142334,26.165499925613403
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3791197691197691,0.175,0.2368318311894507,0.30363469251336894,0.1725259355102533,0.08897565210026091,0.11222642122912967,0.13716517030477457,0.031279178338001846,0.03,0.030565867536342488,0.0309744603222864,0.04744276131289441,0.048304589153964794,0.0477669205581867,0.04754415615008216,0.5356146138807428,0.875,0.6639810392263222,0.5804452334057597,0.03861738468431279,0.07168604389202188,0.04663210431783429,0.04099756861280529,models/0_4_PHM_C01_SS_LowNBD__RF_Model_01-Jul-2023_13-43_0.00_0.00_0.00.mdl,83.04070496559143,30.805266618728638,0.9529223442077637,26.056355953216553
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6046608946608947,0.26,0.35892268938987515,0.47027070152070155,0.11778324002976993,0.10219806477837261,0.12075525020794717,0.12737441470490113,0.5142612721417069,0.585,0.5453552153519569,0.5257970497733429,0.05046334815099604,0.11316163464511972,0.07801992019714839,0.060472103841551966,0.5012820512820513,0.975,0.6620884473017729,0.5552178764388066,0.01560068638537391,0.03535533905932739,0.02100085569037756,0.017309995656165412,0.5972174755069493,0.63,0.6109933070780311,0.6021611923738985,0.07698165720844585,0.06749485577105528,0.061001484533534885,0.06874331116241257,models/0_5_PHM_C01_SS_HighNBD__RF_Model_01-Jul-2023_13-46_0.60_0.26_0.47.mdl,98.5475640296936,26.821826934814453,0.9685239791870117,26.07200288772583
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7463647656691135,0.95,0.8344747416385434,0.779023891384848,0.06085292720318214,0.04714045207910316,0.04497565289548504,0.05453649524361652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.016,0.025,0.0843274042711568,0.0210818510677892,0.033730961708462716,0.052704627669472995,0.43335919928025196,0.365,0.3945505079715606,0.41642641476880604,0.05557622970679537,0.07472170590486632,0.06319885150681227,0.05744787282889048,models/0_6_PHM_C04_SS_NoNBD__RF_Model_01-Jul-2023_13-48_0.75_0.95_0.78.mdl,133.6089084148407,26.665611267089844,0.9685525894165039,25.893737316131592
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7307632222849614,0.805,0.7653830542684769,0.7440769336027956,0.06124386508095429,0.04972144630058767,0.05063336575912838,0.05636879911962407,0.5200514326170248,0.53,0.5207196814208529,0.5194016807009024,0.07541290175462714,0.1475729574745244,0.1021720699685453,0.08368207492802869,0.505195681511471,0.975,0.6654156577885392,0.5590256292362078,0.010954612969787773,0.03535533905932739,0.01576807925432658,0.012208435175237712,0.49000000000000005,0.075,0.12224178420280367,0.20521735209235206,0.3139945741451476,0.04249182927993988,0.06078671054893101,0.0878871329661634,models/0_7_PHM_C04_SS_LowNBD__RF_Model_01-Jul-2023_13-52_0.73_0.80_0.74.mdl,98.83478307723999,27.596537590026855,0.968552827835083,26.303407669067383
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,0.7802639751552796,0.8800000000000001,0.8265949053782293,0.798042345585449,0.04268611674727747,0.03496029493900506,0.032910542195425406,0.038052591445415306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.015000000000000003,0.02813852813852813,0.059523809523809514,0.42491829279939874,0.0241522945769824,0.04532265158597231,0.09618412415508587,0.3817857142857143,0.11499999999999999,0.175050468050468,0.2571678321678322,0.16283390602813946,0.052967495273569004,0.07784436521078238,0.11049235759255717,models/0_8_PHM_C04_SS_HighNBD__RF_Model_01-Jul-2023_13-54_0.78_0.88_0.80.mdl,81.768310546875,26.743720293045044,0.9685471057891846,25.947032928466797
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,0.6186382324190673,1.0,0.7639917660339414,0.6695452682294787,0.030921067443084333,0.0,0.02336547893754965,0.028883439989463154,0.551962267911117,0.61,0.5767530793203988,0.561016163094499,0.07155411671573443,0.09944289260117528,0.07421538906586922,0.07011470761284759,0.564512432012432,0.27,0.36374167545468994,0.4614640567765568,0.054187402629825604,0.04216370213557837,0.044613755974482514,0.04649318308172533,0.43843233306081597,0.36,0.3917963865196213,0.41721996643987314,0.06762096064933049,0.09368979548370132,0.07859683319581097,0.06967000532932809,models/0_9_PHM_C06_SS_NoNBD__RF_Model_01-Jul-2023_13-56_0.62_1.00_0.67.mdl,140.8973274230957,28.571415662765503,1.077897548675537,28.1652615070343
