,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,2,0.6632435510355421,1.0,0.7972435127897313,0.7110094242447182,0.027107955618463544,0.0,0.01955401302318273,0.024906907224415818,0.11666666666666665,0.015000000000000003,0.02648221343873518,0.04910714285714285,0.24907235301622102,0.03374742788552765,0.05915810568641137,0.10823271753552488,0.5,0.9800000000000001,0.6620884473017729,0.554270906741837,0.006043647702449132,0.025819888974716126,0.009575076336344433,0.00685820797774079,0.5331517094017093,0.27999999999999997,0.3611752002786485,0.4436391223155929,0.08765352753123934,0.05868938953886335,0.058127490279494806,0.06113471299542056,models/2_0_Dasic_NoNBD__RF_Model_06-Jul-2023_18-58_0.66_1.00_0.71.mdl,165.68531274795532,39.089725971221924,3.9955527782440186,22.217732429504395
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,2,0.810546265328874,1.0,0.8951312927045991,0.8423446686794852,0.02768081993643838,0.0,0.016697539585070916,0.023816759412739592,0.5620453334698186,0.645,0.5976609365096044,0.5751374853698692,0.07300719946221118,0.15536694915228558,0.10679049967927241,0.08480657171070717,0.5166666666666666,0.035,0.06457745153397326,0.13244047619047616,0.4743416490252569,0.03374742788552765,0.06063453010902848,0.1191405886979053,0.6741157616892911,0.5349999999999999,0.5956932256932257,0.6400883838383838,0.08500586511760326,0.0944281031614353,0.09104118423524138,0.08765254359655016,models/2_1_Dasic_LowNBD__RF_Model_06-Jul-2023_20-34_0.81_1.00_0.84.mdl,67.25375843048096,30.538318634033203,4.20685076713562,39.19130206108093
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,2,0.887497647280256,0.9949999999999999,0.9372436830831612,0.9065570572467123,0.05145269599973557,0.015811388300841916,0.026923195758114322,0.04205636217967577,0.45131161236424394,0.4600000000000001,0.4549846794198527,0.452629646715104,0.0835769587905996,0.07378647873726218,0.07637430601844128,0.08023822352787616,0.5061965811965812,0.97,0.6651151183042352,0.5596755886390032,0.014542725141380703,0.05374838498865702,0.02504196377255338,0.017722639294139933,0.4545454545454545,0.18,0.2526164602916549,0.33898566711066713,0.21034641117114974,0.11352924243950933,0.14658681352368313,0.17660511625086847,models/2_2_Dasic_HighNBD__RF_Model_06-Jul-2023_20-36_0.89_0.99_0.91.mdl,171.9152708053589,35.54665565490723,3.647373914718628,35.77261233329773
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,2,1.0,0.585,0.7376588465298142,0.875204248366013,0.0,0.033747427885527634,0.026698738881913858,0.014974344667703414,0.5907485554608317,0.705,0.6391996856067166,0.6084806985399658,0.05813611073104939,0.10658851303546323,0.061613034781237565,0.054769685602295656,0.49851187219608273,0.9650000000000001,0.6573113086632419,0.5518295496493171,0.014365983633724043,0.04743416490252569,0.02290650635126787,0.016926579314104066,0.5787419062419062,0.72,0.6402842085450782,0.6016098584332386,0.047431944000504496,0.08881941729649484,0.05832136385304953,0.049655176706160764,models/2_3_PHM_C01_SS_NoNBD__RF_Model_06-Jul-2023_20-40_1.00_0.58_0.88.mdl,603.4974155426025,39.200992584228516,4.572279930114746,41.31850600242615
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.02,0.037662337662337654,0.08035714285714284,0.4743416490252569,0.025819888974716113,0.048637925739008166,0.10409578086964025,0.6145486316976424,0.5900000000000001,0.5955819407050597,0.6050352151713313,0.07292667604011253,0.11498792207106891,0.07500002894943565,0.06564902476990371,models/2_4_PHM_C01_SS_LowNBD__RF_Model_06-Jul-2023_20-52_0.00_0.00_0.00.mdl,403.9960961341858,38.71580219268799,4.505125045776367,41.92140293121338
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5204307823715718,0.925,0.665604323987538,0.5701196304752221,0.027644367860679357,0.04859126579037753,0.029094885544466664,0.027872184742821472,0.49743589743589745,0.975,0.6587375803623612,0.5514446793516561,0.010112956894187411,0.026352313834736525,0.014148435045565089,0.011336643593397167,0.5173809523809523,0.325,0.3972864145658263,0.46063596491228065,0.12913871518696898,0.0790569415042095,0.09197523596534193,0.1083388516441143,models/2_5_PHM_C01_SS_HighNBD__RF_Model_06-Jul-2023_21-00_0.00_0.00_0.00.mdl,292.496054649353,30.241113424301147,4.287233352661133,37.30180501937866
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,2,0.8178887272148142,0.9550000000000001,0.8803277266985374,0.8416125065249093,0.04619720078224401,0.049721446300587654,0.03880409019258937,0.042110438297035,0.5156087041613358,0.5650000000000001,0.5374766209772069,0.5237798932075182,0.09776031710318843,0.14916433890176295,0.11865299727631407,0.10507392421936779,0.49736659736659733,0.97,0.6574886954381863,0.551038835195812,0.010193106047653878,0.034960294939005106,0.016015255169758574,0.011861417919451228,0.49374074074074076,0.5599999999999999,0.5207732295635619,0.5032107554234936,0.06858215263323218,0.11254628677422752,0.08047147379432132,0.07007448154042739,models/2_6_PHM_C04_SS_NoNBD__RF_Model_06-Jul-2023_21-06_0.82_0.96_0.84.mdl,596.087236404419,37.11206793785095,3.0201282501220703,38.10095524787903
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,2,0.6821428571428572,0.305,0.40980925632852605,0.5309118513065881,0.09791862665090999,0.11890705987824644,0.11098778322056882,0.09268341430834927,0.5140135689903491,0.45,0.4767659633441556,0.49748287896314214,0.09093389989353007,0.097182531580755,0.08690203272840066,0.08643334071681422,0.5014957264957265,0.9650000000000001,0.6598890929837744,0.5547482410606347,0.01812334975452211,0.033747427885527655,0.021716159842371966,0.019273802929364106,0.4186616161616161,0.215,0.2828852163779861,0.3504710057099763,0.10032938771287093,0.06258327785172862,0.07580966652700066,0.08782678060860553,models/2_7_PHM_C04_SS_LowNBD__RF_Model_06-Jul-2023_21-18_0.68_0.30_0.53.mdl,436.7289912700653,34.561224699020386,4.234683275222778,37.93243956565857
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,2,0.6654774066513196,0.8,0.7254000265903149,0.6880033095689381,0.04858618311203968,0.06666666666666667,0.04640885849204585,0.046042834448327914,0.5038461538461538,1.0,0.6700564971751412,0.5593434343434344,0.006192896045380087,0.0,0.005458145667114693,0.006099064287116703,0.501417004048583,0.975,0.6622053380089616,0.5553500117453606,0.015587709871755458,0.026352313834736518,0.018739557244418517,0.016670710397787298,0.3717857142857143,0.06999999999999999,0.11415938007242352,0.18911852036852034,0.3663143578168297,0.053748384988657,0.08809644381907634,0.15412583910849428,models/2_8_PHM_C04_SS_HighNBD__RF_Model_06-Jul-2023_21-26_0.67_0.80_0.69.mdl,417.613379240036,37.64122939109802,4.27539324760437,35.741971254348755
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/V9-R1,,100,70,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49324436835306396,0.545,0.5148789240066565,0.5009793735906083,0.05514199563700656,0.13218253372598904,0.08794938024947417,0.06655528561602705,0.5025641025641026,0.9800000000000001,0.664367816091954,0.5568035001174535,0.016005168004046444,0.03496029493900505,0.021399991241615787,0.01773659098193184,0.19166666666666665,0.025,0.04390645586297759,0.08085317460317458,0.2153449715923812,0.026352313834736497,0.04633030535158371,0.08597247636227495,models/2_9_PHM_C06_SS_NoNBD__RF_Model_06-Jul-2023_21-35_0.00_0.00_0.00.mdl,671.8169944286346,34.25126504898071,5.205965518951416,41.13813042640686
