,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,3,0.9491311612364244,0.9349999999999999,0.9415187123531155,0.9459489966555183,0.02370051307768434,0.052967495273569025,0.03467462992957614,0.026355360426604788,0.5377985192121815,0.8949999999999999,0.671086928444003,0.5841200910987944,0.04514443649750091,0.05986094998689321,0.04623119821621535,0.04550413822011908,0.35,0.034999999999999996,0.06288349331827592,0.12127976190476189,0.4743416490252569,0.05296749527356901,0.09363178565932352,0.1749540604181644,0.4456132756132756,0.21000000000000002,0.2800985269610539,0.3569576530925215,0.11954563504024801,0.07745966692414834,0.08541134981587428,0.09649826606285207,models/3_0_Dasic_NoNBD__RF_Model_06-Jul-2023_22-18_0.95_0.93_0.95.mdl,156.89362382888794,39.90145754814148,2.762904644012451,34.18699312210083
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,3,0.9358697838109602,0.725,0.8154848290452005,0.8831437536529071,0.03001439317257342,0.06770032003863304,0.046360494963660216,0.03183689486004813,0.49123015873015874,0.175,0.2563000715759336,0.35758893883893883,0.22970127637181956,0.09501461875826149,0.1340831036540708,0.178666164140182,0.03249999999999998,0.025,0.028253968253968233,0.0306547619047619,0.03429177636002435,0.026352313834736497,0.029787936880849575,0.032331225921145054,0.486984126984127,0.135,0.2058011809391119,0.30699786324786327,0.16365976142811645,0.07090682462060882,0.0958562394407951,0.12131406546737226,models/3_1_Dasic_LowNBD__RF_Model_06-Jul-2023_22-22_0.94_0.72_0.88.mdl,148.99417090415955,39.6594181060791,2.700960159301758,34.41299533843994
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,3,0.885523244871071,0.985,0.9318461374133523,0.9033264915161467,0.04248313529777019,0.024152294576982432,0.02228260919598426,0.034116195910608355,0.4884708931419458,0.385,0.42871738900601375,0.4619435817805383,0.1104902452759636,0.10287532908007309,0.1034268936677157,0.1057781565287219,0.3,0.015000000000000003,0.02857142857142856,0.062499999999999986,0.48304589153964794,0.0241522945769824,0.046004370622823594,0.10063456073742665,0.6135714285714287,0.21000000000000002,0.30821578465956273,0.43428966866466867,0.1867494215114742,0.0936897954837013,0.1231312733646334,0.1526963691683624,models/3_2_Dasic_HighNBD__RF_Model_06-Jul-2023_22-26_0.89_0.99_0.90.mdl,141.01389980316162,39.663211822509766,2.708113670349121,35.45115804672241
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2919047619047619,0.07,0.11192072339898425,0.17610479797979797,0.13926344053805492,0.03496029493900506,0.05446639401646239,0.08366248197100809,0.11666666666666665,0.015000000000000003,0.02648221343873518,0.04910714285714285,0.24907235301622105,0.03374742788552765,0.05915810568641136,0.1082327175355249,0.338030303030303,0.125,0.17832627961099207,0.24451486013986012,0.15787082254992704,0.07905694150420949,0.10293688003352658,0.127198674015489,models/3_3_PHM_C01_SS_NoNBD__RF_Model_06-Jul-2023_22-30_0.00_0.00_0.00.mdl,424.19049406051636,24.62252187728882,2.6789560317993164,21.82332444190979
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,3,0.99375,0.6849999999999999,0.8075095759156481,0.9083729684058632,0.019764235376052375,0.09143911149563465,0.06344312726584604,0.03290738841613328,0.5194102680944785,0.55,0.532048834776691,0.5239412150956378,0.07074810751878019,0.10274023338281628,0.07710179848874289,0.07120363057147819,0.15,0.01,0.01861471861471861,0.03869047619047618,0.3374742788552764,0.021081851067789197,0.0392565353418968,0.08186778188800696,0.4743947368421052,0.45499999999999996,0.46317363922627075,0.46953674948240165,0.06579367837260354,0.07619419633774975,0.06684139505469586,0.06528010021420919,models/3_4_PHM_C01_SS_LowNBD__RF_Model_06-Jul-2023_22-38_0.99_0.68_0.91.mdl,139.40635538101196,12.965999364852905,0.9016380310058594,11.173280000686646
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.02,0.03683418031244117,0.0751488095238095,0.41611074024608896,0.025819888974716113,0.04760826335738123,0.09811214526082912,0.30785714285714283,0.06999999999999999,0.11192822636300895,0.1779113247863248,0.23897206272367627,0.053748384988657,0.08398038108682417,0.1320796913494861,models/3_5_PHM_C01_SS_HighNBD__RF_Model_06-Jul-2023_22-40_0.00_0.00_0.00.mdl,69.12692785263062,12.284748077392578,0.8667354583740234,11.759835243225098
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,3,0.7483321831147918,0.985,0.8498841870504629,0.7857857448331239,0.047857601558060285,0.024152294576982432,0.034360148390546484,0.042979029584915715,0.5152707949776916,0.6100000000000001,0.5569459680524252,0.5308552877752929,0.07265185006517687,0.12202003478482085,0.08898261143166689,0.07758511562276722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196320346320346,0.275,0.36454225835343745,0.4658263305322129,0.1701143815697219,0.10865337342004414,0.11243035212222582,0.10064501007314823,models/3_6_PHM_C04_SS_NoNBD__RF_Model_06-Jul-2023_22-42_0.75_0.98_0.79.mdl,141.41864824295044,14.198566913604736,0.9053366184234619,11.297033309936523
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,3,0.7894379080783711,0.85,0.8146189520198355,0.7984240304904568,0.05220445873529808,0.11785113019775792,0.06471691977456212,0.04978439085686462,0.5059899749373433,0.51,0.5063680222216808,0.5057109612928578,0.07276593703603002,0.08755950357709133,0.07498845499661495,0.0720036039066924,0.26666666666666666,0.02,0.03643892339544513,0.07291666666666666,0.43885372573625553,0.03496029493900506,0.062457438733945735,0.12078143840920892,0.4359199134199134,0.155,0.22102946785695732,0.30546207264957265,0.25362258206248905,0.11890705987824646,0.15348287710452982,0.18963140234368367,models/3_7_PHM_C04_SS_LowNBD__RF_Model_06-Jul-2023_22-45_0.79_0.85_0.80.mdl,141.5648913383484,11.806958436965942,0.8857078552246094,10.985530138015747
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,3,0.8326984126984127,0.3,0.4296154337361234,0.5941372761225703,0.12020530574263602,0.10274023338281627,0.10595127366875988,0.08648816680832595,0.5026315789473684,0.9949999999999999,0.6678355737385544,0.5578238783180643,0.010284831311871162,0.015811388300841916,0.011319570657575646,0.010670635781339572,0.4666666666666666,0.045,0.08070769809900244,0.15550595238095238,0.4499657051403686,0.04377975178854565,0.07754141942725688,0.14615901774157888,0.48315170940170943,0.42000000000000004,0.44103535353535345,0.4627753420208663,0.0541944141577036,0.13581032524975575,0.09129804278414551,0.06568450739373322,models/3_8_PHM_C04_SS_HighNBD__RF_Model_06-Jul-2023_22-48_0.83_0.30_0.59.mdl,101.66226553916931,12.549724578857422,0.8968985080718994,10.986847877502441
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/V9-R1,,100,70,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42327018526708926,0.41,0.4159156606845952,0.4201437099534925,0.0662713714075814,0.0843274042711568,0.07370443333008973,0.0687442316739424,0.4973684210526315,0.97,0.6575297097214104,0.5510556142823584,0.01337270018419178,0.034960294939005085,0.019224758609187025,0.015190537462335207,0.6559889277389277,0.475,0.5444415933528838,0.6042906746031746,0.1039405838021504,0.11118053386771945,0.09180743426525798,0.09279115793806064,models/3_9_PHM_C06_SS_NoNBD__RF_Model_06-Jul-2023_22-50_0.00_0.00_0.00.mdl,143.4296612739563,11.603991270065308,0.9037184715270996,10.749093770980835
