,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,4,0.7360948310948311,0.985,0.8423232089628945,0.7751634286412512,0.03685942441765747,0.024152294576982425,0.0312966007415442,0.03498167106461351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505195681511471,0.99,0.6689460354568478,0.5600261334272962,0.010954612969787792,0.02108185106778923,0.012920159306266894,0.011574071487445733,0.39357142857142857,0.22999999999999998,0.28450121627598407,0.33760095571409343,0.14256606147539355,0.11832159566199232,0.12773785830437745,0.13417408544587975,models/4_0_Dasic_NoNBD__RF_Model_06-Jul-2023_23-08_0.74_0.98_0.78.mdl,49.134408950805664,20.211591720581055,1.0465788841247559,11.182123184204102
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,4,0.9218614718614718,0.9650000000000001,0.9418596380085468,0.929510191485454,0.05491421572930057,0.04116363011742822,0.03593642311250454,0.04575659649400671,0.37976190476190474,0.075,0.11944267487745745,0.19049873737373738,0.31278552086209577,0.06770032003863301,0.0998614186240805,0.14279956715592215,0.45674638190118066,0.825,0.5877549046838161,0.5014314605397389,0.01529928949235683,0.05400617248673218,0.025510448298165844,0.01830806436605674,0.4913672438672439,0.19,0.2702434686394642,0.36671817765567766,0.10860465492923364,0.051639777949432225,0.06102865191016629,0.07216603015544036,models/4_1_Dasic_LowNBD__RF_Model_06-Jul-2023_23-10_0.92_0.97_0.93.mdl,47.67925715446472,19.96379852294922,0.9399721622467041,10.888112306594849
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/V9-R1,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,4,0.7319495319495319,0.9949999999999999,0.8433395004625346,0.7727616385630498,0.019748911615433004,0.015811388300841913,0.01666511435286829,0.018624615323145785,0.5231977218184115,0.73,0.6063744692831881,0.5530501343147058,0.07672047183783362,0.14375905768565214,0.09527006044612484,0.08180322902647934,0.7303231583231583,0.975,0.8349337033610855,0.7688271322091886,0.013397307572154748,0.0353553390593274,0.019375063968288628,0.014820863860102854,0.44363636363636366,0.185,0.25467980884109914,0.33667279411764706,0.18285374143242755,0.11067971810589328,0.13395023387895882,0.15408386606999952,models/4_2_Dasic_HighNBD__RF_Model_06-Jul-2023_23-11_0.73_0.99_0.77.mdl,44.106478214263916,11.823810815811157,0.8675096035003662,10.422527313232422
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299358070731207,0.575,0.54647220505044,0.5353350789532054,0.07097222267780705,0.14766704288891128,0.09487973532133641,0.07638829731478985,0.2,0.01,0.019047619047619042,0.04166666666666666,0.4216370213557839,0.021081851067789197,0.04015590679578893,0.0878410461157883,0.4631878918295326,0.325,0.3786787680810451,0.4239186284561671,0.19969801118514902,0.12076147288491199,0.143742061743442,0.17062980163562833,models/4_3_PHM_C01_SS_NoNBD__RF_Model_06-Jul-2023_23-12_0.00_0.00_0.00.mdl,144.18100786209106,11.71168303489685,0.8649041652679443,10.402348756790161
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.01861471861471861,0.03869047619047618,0.3374742788552764,0.0210818510677892,0.03925653534189679,0.08186778188800695,0.5175,0.16999999999999998,0.254071632071632,0.363738344988345,0.23229512710579509,0.06749485577105528,0.10103519125404387,0.14914440306302046,models/4_4_PHM_C01_SS_LowNBD__RF_Model_06-Jul-2023_23-15_0.00_0.00_0.00.mdl,111.70717811584473,11.955497980117798,0.8781847953796387,10.54794430732727
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.7548282152629978,0.835,0.7916741297125525,0.7688991295442908,0.06275529676787665,0.10554093465991711,0.07690874401588109,0.06674295449811425,0.5092848210777272,0.5349999999999999,0.5181009106870489,0.511861518111518,0.05966697456787716,0.09732534213770956,0.06593696502313696,0.05797573712374638,0.4999325236167341,0.9800000000000001,0.6620494837327099,0.5542121799389241,0.012247164936896935,0.03496029493900508,0.018032563989476693,0.013996129038216367,0.4585064935064935,0.24,0.31270960411107956,0.3849488150523367,0.09609729024525823,0.07378647873726217,0.08110967974685658,0.08624877788434089,models/4_5_PHM_C01_SS_HighNBD__RF_Model_06-Jul-2023_23-17_0.75_0.83_0.77.mdl,120.22303414344788,11.631291389465332,0.9409809112548828,10.589585542678833
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.6643920132518575,0.9949999999999999,0.796399069061587,0.7115220091226282,0.02640171305359239,0.015811388300841913,0.019096580343950464,0.02413907476155117,0.5189795215578401,0.58,0.5417308687996016,0.5264985000043554,0.08356362853961022,0.1494434118097326,0.10172452870525517,0.08707102010748427,0.15,0.01,0.01861471861471861,0.03869047619047618,0.3374742788552764,0.0210818510677892,0.0392565353418968,0.08186778188800695,0.47878010878010874,0.255,0.329332597276391,0.4031821281144037,0.15168028454239998,0.07975657409336931,0.09712750897298543,0.11968224503535643,models/4_6_PHM_C04_SS_NoNBD__RF_Model_06-Jul-2023_23-20_0.66_0.99_0.71.mdl,142.3141951560974,11.830735683441162,0.8750424385070801,10.83631157875061
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.6884301432922123,0.93,0.7901244699825379,0.7256280794373569,0.04376458178414637,0.053748384988656965,0.037995328065604066,0.04077893944369432,0.49432164813743756,0.545,0.5153316345258266,0.5018757878349906,0.05677497992562577,0.10124228365658294,0.06571601594204513,0.05703002781716147,0.5,0.9650000000000001,0.6585991571564798,0.5532861841001375,0.010659853505787034,0.03374742788552765,0.015352556668740022,0.011918707691376755,0.45739898989898986,0.165,0.23384198684068105,0.3204269688644688,0.24638109111767076,0.1203005495507906,0.1548643534538035,0.18681801327580005,models/4_7_PHM_C04_SS_LowNBD__RF_Model_06-Jul-2023_23-22_0.69_0.93_0.73.mdl,128.35096621513367,11.600281715393066,0.8973143100738525,10.598082780838013
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.651440577940578,0.865,0.7426299068389726,0.6849984304951631,0.03824664981797378,0.04743416490252568,0.036249547990236726,0.036841972664066976,0.48983460983460986,0.225,0.3013410044733254,0.3851657329598506,0.1129656346556795,0.09204467514322717,0.10765637141941208,0.11482323544371406,0.13333333333333333,0.015000000000000003,0.02687747035573122,0.05133928571428571,0.3220305943597653,0.03374742788552765,0.060914606700605584,0.11813733078809999,0.5285714285714286,0.175,0.26000202096753816,0.3710102397602397,0.16944769708041293,0.06770032003863301,0.09230458153489011,0.12160463017313636,models/4_8_PHM_C04_SS_HighNBD__RF_Model_06-Jul-2023_23-25_0.65_0.86_0.68.mdl,122.38721680641174,11.566787719726562,0.8581407070159912,10.370994567871094
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,1.0,0.625,0.7682493818641826,0.8918800524595805,0.0,0.04859126579037749,0.036481753516728097,0.019578920812323482,0.4863498023715415,0.545,0.5120533005922288,0.49586512203447686,0.09385546462099745,0.14230249470757708,0.11387702509350192,0.10089302192121376,0.07486013986013984,0.045,0.0561107038123167,0.06598243464052285,0.058113556317650424,0.03689323936863109,0.04500144588306766,0.05197340490364809,0.4323088023088023,0.205,0.2744686969603543,0.34898590992340994,0.22159306583345187,0.10658851303546321,0.1397632997833746,0.17615686308608505,models/4_9_PHM_C06_SS_NoNBD__RF_Model_06-Jul-2023_23-27_1.00_0.62_0.89.mdl,144.03625679016113,11.752024173736572,0.8772625923156738,10.428337097167969
10,10,SS,PHM C06 SS LBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_LowNBD.mdl,1.0,-1,-40,0.13,0.95,1000,0.05,800,348,PHM_C06_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.036796536796536786,0.07440476190476189,0.42491829279939874,0.03496029493900505,0.06399024025582027,0.1280107926643248,0.4990347566663356,0.55,0.5213340782169328,0.5073290628000723,0.058206169985782284,0.09999999999999998,0.06963915301721893,0.0605681003313357,models/4_10_PHM_C06_SS_LowNBD__RF_Model_06-Jul-2023_23-30_0.00_0.00_0.00.mdl,97.80700969696045,11.74123477935791,0.8772597312927246,10.43220329284668
11,11,SS,PHM C06 SS HBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_HighNBD.mdl,1.0,-1,-40,0.13,0.9,100,0.1,800,348,PHM_C06_SS,Separate test set.,40,10,results/V9-R1,,100,70,4,0.8716161616161615,0.24,0.3685572003080345,0.5556277056277057,0.1810048212012565,0.06582805886043834,0.07134693840361828,0.08430006011266784,0.4997488668253286,0.675,0.5724812614462367,0.5262111265410881,0.026543843177983337,0.06770032003863301,0.027042165806019505,0.02322711187022132,0.5025659262501367,0.985,0.6654587960257159,0.5571055236752911,0.012029559402823688,0.033747427885527655,0.016607654751023663,0.013316388469304921,0.4497220726582013,0.44000000000000006,0.44247355104655756,0.4462023312145126,0.10683084747781114,0.1449137674618944,0.1220856430103132,0.1117431004319194,models/4_11_PHM_C06_SS_HighNBD__RF_Model_06-Jul-2023_23-32_0.87_0.24_0.56.mdl,109.98746371269226,11.515635013580322,0.8708910942077637,10.78890085220337
