,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,9,0.5768525592055004,1.0,0.7315082541497635,0.6301265593627596,0.017609665898832998,0.0,0.01416304760325371,0.016811576595888066,0.5467426546467026,0.63,0.5837004591623342,0.5606310611483025,0.08913858986128055,0.13165611772087663,0.10181955032679142,0.09267899959461583,0.2,0.01,0.019047619047619042,0.04166666666666666,0.42163702135578396,0.0210818510677892,0.04015590679578893,0.08784104611578829,0.2664285714285714,0.06,0.09584528675833022,0.15233585858585857,0.1978800787679049,0.045946829173634074,0.06999811438476837,0.10713937509626145,models/9_0_Dasic_NoNBD__RF_Model_05-Jul-2023_20-12_0.58_1.00_0.63.mdl,50.67716836929321,12.936281442642212,0.9744272232055664,11.437952280044556
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,9,0.7123700054734537,1.0,0.8318497611810681,0.7557653743315508,0.022334726929884433,0.0,0.01519512716253939,0.02009566094632008,0.4626298701298701,0.16,0.2344372352403498,0.329712475024975,0.19520782479710486,0.06582805886043833,0.0923153119038975,0.1288472404270928,0.45,0.035,0.06450216450216449,0.13095238095238093,0.49721446300587663,0.04116363011742823,0.07521484974818195,0.14992964672470285,0.502536182353116,0.515,0.5071951738939827,0.5039863146113146,0.06726040052860124,0.10287532908007309,0.08266181249211713,0.07246160297939189,models/9_1_Dasic_LowNBD__RF_Model_05-Jul-2023_20-14_0.71_1.00_0.76.mdl,51.770588397979736,15.424152851104736,1.0123538970947266,11.872281551361084
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,9,0.7093356454034986,0.99,0.8258402186036301,0.7516606089527698,0.04325531332570503,0.021081851067789217,0.03186350265322357,0.03954306047888761,0.5583333333333333,0.05500000000000001,0.09819781667607752,0.1882440476190476,0.38097098168874866,0.04377975178854566,0.07425567985164126,0.13067636028708893,0.02761904761904761,0.02,0.023193277310924368,0.025657894736842102,0.04755551317098159,0.03496029493900506,0.0402800730862393,0.04434490334240121,0.4999603174603175,0.15,0.226778437399127,0.3327630702630703,0.13651055763243783,0.057735026918962574,0.07601303317123281,0.09576113354791593,models/9_2_Dasic_HighNBD__RF_Model_05-Jul-2023_20-15_0.71_0.99_0.75.mdl,47.82760000228882,13.364338159561157,0.9874184131622314,11.717859029769897
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49145687645687647,0.32999999999999996,0.3860045733836056,0.44025735294117646,0.1291028592390661,0.1735255344642716,0.14274806272965096,0.13072318275942651,0.4987179487179487,0.9800000000000001,0.6609779855834794,0.5530156213295748,0.014382480250063686,0.03496029493900506,0.019629459565166908,0.016000254896558767,0.125,0.01,0.01785714285714285,0.034722222222222224,0.3173238794109962,0.0210818510677892,0.03775059045722309,0.0750085728982391,models/9_3_PHM_C01_SS_NoNBD__RF_Model_05-Jul-2023_20-16_0.00_0.00_0.00.mdl,155.82450604438782,13.092281103134155,0.8962295055389404,11.514590978622437
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,9,0.8166666666666667,0.12,0.2070205157161679,0.3685515873015873,0.3374742788552764,0.06749485577105528,0.1122692732583158,0.185841706379951,0.46518985400564344,0.465,0.46180909352534066,0.4630475411295888,0.07455752022188476,0.12258783698955528,0.09146043654702705,0.07918365521369632,0.5,0.97,0.659748582443836,0.5536091815161582,0.010659853505787013,0.03496029493900506,0.015497094068488511,0.011933539817724798,0.5752323115481011,0.37,0.4434898434898435,0.5108134920634921,0.06960248342945936,0.10852547064066471,0.09674856330426641,0.08211911714219024,models/9_4_PHM_C01_SS_LowNBD__RF_Model_05-Jul-2023_20-19_0.82_0.12_0.37.mdl,115.21371173858643,13.062984466552734,0.9762721061706543,11.68870997428894
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,9,0.9157142857142857,0.195,0.313041181041181,0.5012085137085137,0.11937626593984457,0.07619419633774972,0.10381614712629376,0.11680013866096309,0.5191765777110373,0.55,0.5313775977770515,0.5234000318633003,0.07717227165195105,0.10274023338281628,0.07720775289196001,0.07446923014659249,0.9566666666666667,0.42000000000000004,0.582459405218026,0.7600961538461538,0.05603496850604318,0.042163702135578386,0.044079984012454096,0.043031152150243446,0.3896428571428571,0.11000000000000001,0.16975417175417173,0.25439005439005435,0.23870691930326451,0.08096638534327413,0.11852341203832174,0.16680461726990012,models/9_5_PHM_C01_SS_HighNBD__RF_Model_05-Jul-2023_20-22_0.92_0.20_0.50.mdl,126.73795437812805,12.870611667633057,0.948244571685791,11.383487224578857
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,9,0.8775294296346928,0.8699999999999999,0.8712462206172089,0.8743143812709031,0.055383271906297715,0.07888106377466156,0.05051980111162258,0.04690062035856432,0.35285714285714287,0.08,0.12755393398871656,0.20166396103896106,0.2221479467707774,0.058689389538863365,0.08898387944129459,0.13144234152565842,0.3333333333333333,0.02,0.0372670807453416,0.07812499999999999,0.4714045207910317,0.025819888974716113,0.04817095477326472,0.10197343858047507,0.5294191885751952,0.775,0.6285990009751855,0.5650143375327199,0.04028148593776028,0.06770032003863304,0.047067537869980317,0.042221442705154315,models/9_6_PHM_C04_SS_NoNBD__RF_Model_05-Jul-2023_20-24_0.88_0.87_0.87.mdl,146.2661304473877,13.065418481826782,0.9184591770172119,11.289093732833862
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,9,0.8336863136863137,0.43499999999999994,0.5630173200301121,0.6927448062558357,0.09196856164659317,0.11316163464511969,0.11360433993212768,0.09929969867495597,0.5146343818159675,0.53,0.5205592704261242,0.5166079642981817,0.061056656196744816,0.09189365834726815,0.07085575992073079,0.06337557919955149,0.25833333333333336,0.02,0.03607660455486541,0.07118055555555555,0.40909792362111924,0.025819888974716113,0.046703862229646155,0.09418836128876737,0.15095238095238095,0.030000000000000006,0.04885729085729084,0.07991522366522365,0.20008879359234388,0.03496029493900505,0.05771194763824998,0.09693797374238526,models/9_7_PHM_C04_SS_LowNBD__RF_Model_05-Jul-2023_20-27_0.83_0.44_0.69.mdl,136.23543739318848,13.126326560974121,0.9876666069030762,11.48305058479309
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,9,0.7082456064149427,0.8400000000000001,0.7665227425085868,0.7300656583714147,0.06780503054485712,0.09660917830792959,0.06834838996454103,0.06547242165500175,0.5232701070858965,0.575,0.5451858981127274,0.5312111690991002,0.05693889767513012,0.10341394704992382,0.0711378759313298,0.060092866888699255,0.5106010869168764,0.985,0.6724548073866724,0.5649864508876137,0.015100783674124893,0.024152294576982418,0.016500680743253407,0.015596288474021319,0.319047619047619,0.08499999999999999,0.1328836863619472,0.20249368686868685,0.17882345530803379,0.047434164902525694,0.0733044113838162,0.11112478573163893,models/9_8_PHM_C04_SS_HighNBD__RF_Model_05-Jul-2023_20-30_0.71_0.84_0.73.mdl,256.28928685188293,34.60920310020447,4.052191257476807,36.699337005615234
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,9,0.8318242988895163,0.9800000000000001,0.8991760650013628,0.8573831979004393,0.03189799455431042,0.034960294939005064,0.021560591379465244,0.026521997010128404,0.4773440377468511,0.5549999999999999,0.511408487673356,0.49002167984422573,0.0941573893500617,0.14615440845595834,0.11501674422653231,0.10149184029821001,0.15,0.01,0.01861471861471861,0.03869047619047618,0.3374742788552765,0.0210818510677892,0.03925653534189679,0.08186778188800695,0.5573260073260073,0.21000000000000002,0.2993827428610037,0.40941870629370625,0.1673534346157404,0.107496769977314,0.12860359085673442,0.14830358016494308,models/9_9_PHM_C06_SS_NoNBD__RF_Model_05-Jul-2023_20-35_0.83_0.98_0.86.mdl,518.8510701656342,35.539959192276,4.501781225204468,40.00233221054077
