,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-40,0.25,0.95,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,5,0.9361757278669043,0.845,0.8857641505009927,0.9146697435012653,0.042328138204407395,0.07975657409336932,0.045312220663941166,0.03565211482219222,0.4706934731934732,0.26,0.33220437543001824,0.4018440945879026,0.106696588609771,0.08096638534327412,0.0902263076340461,0.09759669964218502,0.5039136302294197,0.9800000000000001,0.6655562049483732,0.5581321940333568,0.013702856972031326,0.02581988897471614,0.01729191752316322,0.014894891103650637,0.4739586488502897,0.375,0.4150667371700029,0.44730176237970853,0.0873566166969324,0.10341394704992381,0.09030564332097532,0.0859423434618481,models/5_0_Dasic_NoNBD__RF_Model_05-Jul-2023_15-36_0.94_0.84_0.91.mdl,50.11418175697327,12.881725549697876,0.9556934833526611,11.432382106781006
1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,0.5,-1,-40,0.25,0.9,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,5,0.7904726247987117,0.97,0.8705113936516815,0.8205534257640764,0.043182930284778126,0.025819888974716126,0.030556697600415718,0.038390008744303074,0.4885050469489829,0.44000000000000006,0.45904562985274333,0.47514022072088424,0.05701195895263646,0.10219806477837264,0.07460966421570989,0.061105937893031925,0.9238095238095237,0.325,0.47894685136064447,0.6718073593073594,0.084920222847572,0.035355339059327376,0.03789356595476011,0.044031499036344755,0.49976190476190474,0.12,0.18732476380302462,0.2902913059163059,0.31181983172626776,0.07888106377466154,0.11559628767962217,0.16898088414741977,models/5_1_Dasic_LowNBD__RF_Model_05-Jul-2023_15-38_0.79_0.97_0.82.mdl,47.42179584503174,12.786012411117554,0.9232003688812256,11.564073085784912
2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,0.5,-1,-40,0.25,0.9,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL1-10r-All-R2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,5,0.6901477832512315,1.0,0.816530612244898,0.7356760886172651,0.019445017396063125,0.0,0.013609409852304005,0.017676143530176488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4987872487872488,0.97,0.6586986167932982,0.5524220611429913,0.007428462457942019,0.025819888974716137,0.009326623869214883,0.007671916038601179,0.5460714285714285,0.13,0.20471569010699442,0.3190833472083472,0.2238489566184947,0.06324555320336758,0.09055906140551381,0.1266143140618513,models/5_2_Dasic_HighNBD__RF_Model_05-Jul-2023_15-39_0.69_1.00_0.74.mdl,48.123043060302734,13.00904631614685,0.9550595283508301,11.319814443588257
3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-1,-40,0.12,0.9,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5092285266856205,0.5,0.501870538002729,0.5055590657052427,0.06407910400040438,0.08819171036881969,0.06751567755764189,0.062413255145008534,0.4971586971586971,0.96,0.6549714438053051,0.5501747122386658,0.016339735658010373,0.051639777949432204,0.025703294583335205,0.01918577838485938,0.386163537185209,0.32,0.3475703305165979,0.36895695313458465,0.12520423805200956,0.12064640713902572,0.12002509453904665,0.12208561946613009,models/5_3_PHM_C01_SS_NoNBD__RF_Model_05-Jul-2023_15-40_0.00_0.00_0.00.mdl,146.3449330329895,12.560259342193604,0.9469625949859619,11.693111896514893
4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-40,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,5,0.8166666666666667,0.09,0.15358844054496226,0.27701118326118324,0.3374742788552765,0.09067647005823629,0.13828169932936743,0.19796855694214965,0.531169318223094,0.5700000000000001,0.5451453829284972,0.5355741451383651,0.05460770306653744,0.1183215956619923,0.06982971932920912,0.05467429642688854,0.4946638946638947,0.975,0.6562592922985429,0.5487012987012987,0.014344537762901998,0.04859126579037753,0.02354794838302295,0.017153828227054455,0.6473543123543124,0.41,0.4984615963384039,0.5765187324929972,0.08379833695042986,0.06582805886043834,0.060534940374594115,0.06437975910379944,models/5_4_PHM_C01_SS_LowNBD__RF_Model_05-Jul-2023_15-43_0.82_0.09_0.28.mdl,117.61123418807983,13.456709146499634,0.9606673717498779,11.884997129440308
5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.9,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,5,0.8504526632787502,0.97,0.9053034190867428,0.8713760297812023,0.06045742521004948,0.034960294939005036,0.04096157611004631,0.052537502332219245,0.5189603722730658,0.495,0.5016351002524599,0.5106685653056621,0.06753977490161955,0.09559753599799989,0.06573502177437705,0.06214769684876714,0.5,0.99,0.6644067796610169,0.5549242424242424,0.008547008547008563,0.02108185106778922,0.011670006316255872,0.009504705210973267,0.5202648046398046,0.725,0.6043546154890498,0.5507074440394448,0.042596156199413426,0.08897565210026093,0.05253857688068915,0.04465739193431658,models/5_5_PHM_C01_SS_HighNBD__RF_Model_05-Jul-2023_15-45_0.85_0.97_0.87.mdl,115.74459290504456,21.777412176132202,1.2925662994384766,15.19572401046753
6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,5,0.8563307164971252,0.77,0.808434591117518,0.8358235514485515,0.05730711671816125,0.09775252199076787,0.0699522169498734,0.05834410173932098,0.4683288933288933,0.27999999999999997,0.34901439061821515,0.4112083978328173,0.14910583910015573,0.10327955589886444,0.12108368938846709,0.13571030750911017,0.4986504723346828,0.9650000000000001,0.6574907461523475,0.5519879022786,0.012893306925745862,0.03374742788552761,0.018477354043349613,0.014620202417940441,0.36547619047619045,0.095,0.14975783475783472,0.2304292929292929,0.16667894890496068,0.028382310609877334,0.04802068134726737,0.08396069077540662,models/5_6_PHM_C04_SS_NoNBD__RF_Model_05-Jul-2023_15-48_0.86_0.77_0.84.mdl,155.57612109184265,14.624350786209106,1.0282928943634033,13.186580657958984
7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,5,0.7984274742970395,0.9800000000000001,0.8792919188224999,0.8288036641241592,0.03608583828422059,0.025819888974716133,0.02184444998289774,0.030462337461363922,0.5218659526654378,0.61,0.5582313946231513,0.5350292270040058,0.06767093719634638,0.13904435743076138,0.08383460513527596,0.06987953308811883,0.5065470328628223,0.985,0.6689460354568478,0.5610181969193597,0.011075305995061261,0.024152294576982432,0.012920159306266934,0.011573472218706783,0.4707714507714508,0.215,0.28826272075230136,0.36964674579806156,0.11317403829110756,0.09442810316143528,0.10767687025372971,0.11484971096500977,models/5_7_PHM_C04_SS_LowNBD__RF_Model_05-Jul-2023_15-51_0.80_0.98_0.83.mdl,146.2344834804535,14.87111496925354,1.0532684326171875,12.785260915756226
8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-40,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,5,0.6313146571198001,0.9349999999999999,0.7529146230596258,0.6748059742545036,0.03451226867475233,0.04116363011742819,0.027993607502846952,0.03190170021865416,0.5074272723843662,0.5,0.4994057239098357,0.5030851696594907,0.11014731241213646,0.13944333775567924,0.118859524406049,0.11180690556799303,0.18333333333333332,0.015000000000000003,0.02731037078863165,0.05431547619047618,0.3374742788552764,0.0241522945769824,0.044017207167374714,0.08831942396264236,0.46345238095238095,0.16,0.23646805046805044,0.33350815850815846,0.15956136531783374,0.061463629715285927,0.08737535111676176,0.11851396816847584,models/5_8_PHM_C04_SS_HighNBD__RF_Model_05-Jul-2023_15-54_0.63_0.93_0.67.mdl,133.60203051567078,13.545784711837769,0.9360294342041016,11.838379383087158
9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL1-10r-All-R2,,100,70,5,1.0,0.58,0.733357771260997,0.8726000816993464,0.0,0.04216370213557838,0.034135906106253014,0.019587043806239116,0.548362258264807,0.615,0.5775916749686683,0.5592564677942578,0.057305689366519905,0.08834905520465713,0.06047068295645644,0.055988626434519094,0.5026334026334026,0.97,0.6621079290863043,0.5562172807812342,0.017155716077858613,0.03496029493900505,0.022304388732275266,0.01882666978378633,0.5867368718238284,0.65,0.6148712479733167,0.5972520226455759,0.08023035938706961,0.10801234497346433,0.08715680858937012,0.08130760009486927,models/5_9_PHM_C06_SS_NoNBD__RF_Model_05-Jul-2023_15-57_1.00_0.58_0.87.mdl,155.28117513656616,13.774125337600708,1.0044400691986084,11.446415662765503
